',h
'L,l
'W,w
'Y,y
’l,'l
’w,'w
’ẅ,ẅ
’y,'y
՚l,'l
՚w,'w
՚ẅ,ẅ
՚y,'y
a_,a̱
a,a̱
a̲,a̱
a̠,a̱
a̱,a
a,aa
a,e
a̱,e
a,i
a̱,u
A̱,u
b,p
b,p'
d,t
d,t'
dz,ts
dz,ts'
e,a
e,ee
e,i
ee,ii
g,g̱
g,gw
g,gy
g̱,ḵ,
g,ḵ'
gi,gy
go,gw
gu,k'w
gu,kw
gw,k'w
gw,kw
gy,g
gy,k
h,h
hl,ł
i,a
I,a̱
ii,ee
ii,üü
j,dz
k_,ḵ
k_',ḵ'
ḵ,g̱
k,k
k̲,ḵ
k̠,ḵ
ḵ,ḵ
k,ḵ'
k̲',ḵ'
k̠',ḵ'
ḵ',ḵ'
k',k’
k＇,k’
k'k＇,g
k'k＇,k
k'y,ky
kl,ł
ks,x
ku,gw
kw,gw
kw,k'w
ky,k
ky,k'y
ł,l
l,ł
L,s
ł,s
l',l,
m,'m
m','m
m',m
n,'n
n','n
n',n
o,oo
oh,oo
oo,o
ow,o
p,b
p’,p'
p՚,p'
pʼ,p'
r,ẅ
t,d
t’,t'
t՚,t'
tl,ł
ts,dz
TS,ts'
ts',dz
ts’,ts'
ts՚,ts'
tsʼ,ts'
tʼ,t'
ü,a
ü,i
ü,u
uu,üü
üü,uu
w',w
x,g̱
ʼl,'l
ʼw,'w
ʼẅ,ẅ
ʼy,'y
