a
aa
a̱
b
d
dz
e
ee
g
gw
gy
g̱
h
i
ii
k
k'k＇
kw
ky
k'w
k'y
ḵ
ḵ'
l
'l
ł
m
'm
n
'n
o
oo
p
p'
s
t
t'
ts
ts'
u
uu
üü
w
'w
ẅ
x
y
'y
